index,comment_text
0,5 grand for years of trama😭
1,this was genuinely the best video ive seen on yt amazing job mack please make more vids like these it was so worth it man!!!
2,Yo bro stop winning its just a prank   The prank
3,Holy cinematic masterpiece
4,Ts is actually wild. Doing things not even Airrack would do😂😭
5,Prankless harm
6,5k for a prank that left him with ptsd and trust issues!
7,😓
8,Sam pepper killing my best friend prank has nothing on this ☠️
9,"certamente é combinado, porém ficou legal"
10,i bet 10 gummy bears adam is also an actor
11,2:46 thats ai
12,"Bro, probably bought this whole place just to do all this crazy stuff"
13,This is history 👀
14,damn this is crazy
15,"Wow, this is just wow... THIS IS SO INSANELY IMPRESSIVE!!! I HAVE NO OTHER WORDS..."
16,This is a very evil prank
17,THIS AINT NO JOKE CUH😭
18,Bro was frozen when he when through all that for a coin
19,superb😮🎉🎉🎉
20,“its just a prank dude” THE PRANK:
21,Harmless prank  The prank:
22,Mr beast found a new competitor
23,Pov gta6 will be PICK
24,Absolute cinema ✋🏻🥹🤚🏻
25,How tf did bro not see all of those cameras
26,CAP 🧢
27,Now this is what you call absolute cinema🙌
28,Sometimes people are just waiting for opportunities 🤭
29,Next video:I got a stranger to assassinate the president
30,a way out the movie
31,You've ruined his mental health.
32,"Can't believe I watched this Mr.Beast-like slop to the end. (High effort slop, but still slop)"
33,it just a fortnite prank the fortnite prank:
34,This could be a movie
35,This is messed up
36,The craziest thing I have ever watched.
37,Peak
38,This is actually the most insane video on YouTube!
39,"Before y'all say anything about the cameras just being there and filming, Agent Lanning at 7:03 says that Mack will be filming this from everywhere for a ""sick and twisted YouTube video"". If Adam knew anything about Mack before this, it's that he's a YouTuber so the camera thing shouldn't be suspicious."
40,holy emotional roalercoster how the hell  does mack only have 930k subs
41,bro no way this isn't in netflix yet this is peak
42,best vid of the year keep things like this going <3
43,Eu consegui chorar com isso
44,He can see the camera
45,Absolute Fucking Cinema ✋👱‍♂️🤚
46,youtube isnt ready for Mack
47,this is just like that one black mirror episode
48,Mr. Beast you have been dethroned
49,Shit would make me so paranoid if this happened to me😭✌️
50,What in the Logan Paul is this man?
51,And people pay for Netflix 🥀
52,Holy piece of gold video
53,Bu neydi amk
54,😮
55,"At the very beginning of the video, when he's driving, there's a camera on his door pointed at his face. Other cars are driving alongside them, filming them from the side, and a quadcopter flies above them. It's obvious that the video's protagonist is an actor just like the others, and a crow, too."
56,thats wild 💀
57,More
58,"17:03 this is dumb. im a locksmith, you're drilling the bottom part of the cylinder not the pins which would let you in. You should get a different job."
59,holy larp
60,Degree of first stupid American award goes to you ….
61,Stfu 🫩
62,💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀
63,GTA movie be like
64,Plot twist: the stranger was also a paid actor 💀
65,GTA 7 has very realistic graphics.😮
66,Mack is a Beast
67,Bro 5K is NOT enough this man needs monthly checks
68,Nyie ni wajinga ani unavamia na una go pro mlangoni na camera mbele while wakati gari inawashwa haikuwa na ivo …. Very stupid people ….. mnatuona si matako yenu
69,Prankless Harm 💀
70,This was absolutely fucking crazy. Absolute cinema
71,mr beast gon have to up his game cus this is some peak content yo 😭
72,A MOVIE THEATRE AT THE END?
73,The way he sounds so innocent through the whole thing made me so sad
74,Why was the guy getting pranked wearing ear plugs during the bank robbery like everyone else?🤔
75,Tradução BR ta cheia de erro...
76,Aura
77,Insane dad lore😭
78,Bro went from no criminal record to GTA 6 irl is crazy😭🥀 good thing there were actors
79,"Dude, the video is cool, but there's a camera the size of a hand on the car door at minute 1:55."
80,so you broke a mans morality all for content?
81,"At the end at the safehouse where mac gets aressted is when you really realise, ""all of that, just for a prank"""
82,Mack is employed by mr beast
83,i felt so bad for the guy when mack was taken
84,Absolute Cinema
85,Adam amigo 😭⚰️🕊️
86,i feel bad bruh
87,This is the cutting edge of Youtube
88,Best yt video of all time
89,what about the visible gopros on the car??
90,What was going through Bro’s mind when he did all of this and it was just a prank
91,I don't think I've ever cried over a video before.
92,🎉
93,🤯🤯🤯🤯🤯🤯
94,No final eu tenho uma notícia pra você é só uma pegadinha 😂😂
95,bro brimstone de fbi es buenisimo
96,GUYS LET's GET MACK TO 1MILLION SUBS! this is peak cinema
97,what type of prank is this😭
98,"Next prank I'll have a stranger rob a jewelry store with me, and then I'll make him live in witness protection forever."
99,Yo someone knows where i can buy that uk bomber jacket?
100,No way this came before GTA 6 😭😭
